AST Structure,Fitness Score,Total PnL,Avg Trade,Avg Win,Avg Loss,Largest Win,Largest Loss,Std Win,Std Loss,Max DD,PnL/DD,Max Cons Loss,Sharpe,Sortino,Profit Factor,CPC Index,Corr Coef,Exposure (%),Complexity,Direction,Stop Type,Take Profit,MAP-X,MAP-Y,Fitness Function,In-Sample Pct
"((((High * 5) / Open[-7]) < LinRegSlope((Low + Open), 50) AND LinRegSlope(Close, 100) > (Open / Close)) AND Low < Open)",27.7778,359.63,3.3299,48.2395,13.9430,144.4458,-66.9717,44.0186,11.7167,580.8280,0.6192,40,0.0886,0.2151,1.3307,1.2788,0.6904,0.2,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((High * 5) / Open[-7]) < LinRegSlope((Low + Open), 50) AND LinRegSlope(Close, 100) > (Open / Close))",31.3043,442.64,3.8490,42.8436,13.9207,144.4458,-66.9717,42.4039,11.6440,580.8280,0.7621,41,0.1048,0.2559,1.4025,1.3512,0.7122,0.2,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((Close < (SMA(Open, 50) + (StdDev(Open, 50) * 2)) AND ((High * 5) / Open[-7]) < LinRegSlope((Low + Open), 50)) AND LinRegSlope(Close, 100) > (Open / Close))",32.3529,650.46,6.3771,44.1872,11.7060,144.4458,-36.5756,43.6460,7.2357,429.3200,1.5151,41,0.1745,0.5634,1.8053,2.2047,0.7251,0.1,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((((High / (EMA(High, 14) - EMA(High, 28))) > LinRegSlope(Open, 50) AND 1 > LinRegSlope(Open, 14)) AND LinRegSlope((High + High), 100) > 1) AND LinRegSlope(Open, 200) > (Open / Close))",39.8148,764.01,7.0742,31.6445,9.1801,144.4458,-19.4548,34.8208,5.2267,360.8786,2.1171,23,0.2360,0.8632,2.2804,3.1297,0.6373,0.2,4,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((EMA(Close, 21) / High) crosses above 1 AND LinRegSlope(Low, 7) < ((High + Close) / ((High - Min(High, 50)) / (Max(High, 50) - Min(High, 50))))) AND Close > (Open + StdDev(Close, 14)))",43.1373,264.40,2.5922,9.6025,2.7260,105.3583,-11.0969,16.3247,2.7151,26.9888,9.7966,8,0.2073,0.8934,2.6723,4.0606,0.9622,0.1,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((EMA(Close, 21) / High) crosses above 1 AND Close > (Open + StdDev(Close, 14)))",47.5000,369.19,3.0766,9.5073,2.7416,105.3583,-11.0969,14.8669,2.6709,29.9546,12.3251,5,0.2545,1.1094,3.1375,5.1680,0.9799,0.2,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((Close > (Open + (High - Close)) AND Open crosses above (SMA(High, 200) + (StdDev(High, 200) * 2))) AND LinRegSlope((Close * 1.5), 200) < LinRegSlope((Close + Open), 200)) AND LinRegSlope((Low - High), 7) < 1)",51.3966,702.78,3.9261,10.2529,2.7643,114.0202,-12.0118,14.1674,2.4607,38.4876,18.2598,8,0.3223,1.5217,3.9223,7.4772,0.9709,0.3,4,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((((Close - Open) / (High - Low)) > (High / (Open + Close)) AND 1 crosses below LinRegSlope(Close, 14)) AND (Close / (SMA(Open, 21) + (StdDev(Open, 21) * 2))) < 1) AND Close < High)",53.3981,794.10,7.7097,17.7763,3.8248,62.7299,-12.4126,15.4535,3.2037,33.0560,24.0230,7,0.4892,2.2636,5.3254,13.2161,0.9811,0.1,4,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((LinRegSlope(Low, 50) < 1 AND Close crosses above (SMA(Low, 21) + (StdDev(Low, 21) * 2))) AND (SMA(Close, 21) - (Open - High)) crosses above Close)",59.5238,731.68,5.8070,11.1553,2.0581,189.3952,-11.3015,24.6533,2.2210,21.6946,33.7264,5,0.2883,3.0143,7.9707,25.7152,0.8684,0.2,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((EMA(Open, 100) < Close AND Close crosses above (SMA(Low, 21) + (StdDev(Low, 21) * 2))) AND (SMA(Close, 21) - (Open - High)) crosses above Close)",61.1650,753.15,7.3121,13.5342,2.4876,189.3952,-11.3015,27.1157,2.6987,17.9923,41.8597,4,0.3227,3.1969,8.5690,28.5156,0.8841,0.1,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((1 > (Close / High) AND ((Close - Open) / (High - Low)) > (High / (Open + Close))) AND Open crosses below (Close - StdDev(Close, 7))) AND LinRegSlope(Close, 14) crosses above (Low / Min(High, 7)))",66.0377,1117.10,10.5386,17.2747,2.5592,189.3952,-8.7344,26.0689,1.9608,11.1609,100.0905,2,0.4542,5.6091,13.1251,58.5063,0.9654,0.2,4,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((((EMA(Close, 200) - EMA(Close, 400)) < (Close - High) AND LinRegSlope(High, 14) < 1) AND Low < SMA(Open, 14)) AND (StdDev(Close, 100) + (Open + High)) crosses below ((Close + High) + (EMA(Open, 21) - EMA(Open, 42)))) AND LinRegSlope((Close - High), 100) > LinRegSlope(Low, 200))",70.7547,824.67,7.7799,11.7437,1.8101,52.9748,-6.2545,11.8591,1.9042,9.2707,88.9538,3,0.6609,5.4757,15.6963,72.0524,0.9936,0.2,5,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((((EMA(Close, 200) - EMA(Close, 400)) < (Close - High) AND LinRegSlope(High, 14) < 1) AND Close crosses above Open) AND Low < SMA(Open, 14)) AND (StdDev(Close, 100) + (Open + High)) crosses below ((Close + High) + (EMA(Open, 21) - EMA(Open, 42))))",75.5725,1074.86,8.2051,11.3999,1.6789,52.9748,-6.2545,11.7926,1.7507,9.2707,115.9417,3,0.6999,6.8441,21.0063,107.7897,0.9925,0.2,5,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((((EMA(Close, 200) - EMA(Close, 400)) < (Close - High) AND LinRegSlope(High, 14) < 1) AND Close crosses above Open) AND LinRegSlope(Open, 100) > LinRegSlope(Open, 7)) AND (StdDev(Close, 100) + (Open + High)) crosses below ((Close + High) + (EMA(Open, 21) - EMA(Open, 42))))",79.1667,1041.43,8.6786,11.4321,1.7846,52.9748,-5.6024,11.8165,1.7089,7.5209,138.4722,3,0.7336,7.6953,24.3428,123.4529,0.9912,0.2,5,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
