Date,Open,High,Low,Close,Volume
2020-01-02,1000,1000.5,998.5,999,1000
2020-01-03,999,999.5,997.5,998,1000
2020-01-04,998,998.5,996.5,997,1000
2020-01-05,997,997.5,995.5,996,1000
2020-01-06,996,996.5,994.5,995,1000
2020-01-07,995,995.5,993.5,994,1000
2020-01-08,994,994.5,992.5,993,1000
2020-01-09,993,993.5,991.5,992,1000
2020-01-10,992,992.5,990.5,991,1000
2020-01-11,991,991.5,989.5,990,1000
2020-01-12,990,990.5,988.5,989,1000
2020-01-13,989,989.5,987.5,988,1000
2020-01-14,988,988.5,986.5,987,1000
2020-01-15,987,987.5,985.5,986,1000
2020-01-16,986,986.5,984.5,985,1000
2020-01-17,985,985.5,983.5,984,1000
2020-01-18,984,984.5,982.5,983,1000
2020-01-19,983,983.5,981.5,982,1000
2020-01-20,982,982.5,980.5,981,1000
2020-01-21,981,981.5,979.5,980,1000
2020-01-22,980,980.5,978.5,979,1000
2020-01-23,979,979.5,977.5,978,1000
2020-01-24,978,978.5,976.5,977,1000
2020-01-25,977,977.5,975.5,976,1000
2020-01-26,976,976.5,974.5,975,1000
2020-01-27,975,975.5,973.5,974,1000
2020-01-28,974,974.5,972.5,973,1000
2020-01-01,973,973.5,971.5,972,1000
2020-01-02,972,972.5,970.5,971,1000
2020-01-03,971,971.5,969.5,970,1000
2020-01-04,970,970.5,968.5,969,1000
2020-01-05,969,969.5,967.5,968,1000
2020-01-06,968,968.5,966.5,967,1000
2020-01-07,967,967.5,965.5,966,1000
2020-01-08,966,966.5,964.5,965,1000
2020-01-09,965,965.5,963.5,964,1000
2020-01-10,964,964.5,962.5,963,1000
2020-01-11,963,963.5,961.5,962,1000
2020-01-12,962,962.5,960.5,961,1000
2020-01-13,961,961.5,959.5,960,1000
2020-01-14,960,960.5,958.5,959,1000
2020-01-15,959,959.5,957.5,958,1000
2020-01-16,958,958.5,956.5,957,1000
2020-01-17,957,957.5,955.5,956,1000
2020-01-18,956,956.5,954.5,955,1000
2020-01-19,955,955.5,953.5,954,1000
2020-01-20,954,954.5,952.5,953,1000
2020-01-21,953,953.5,951.5,952,1000
2020-01-22,952,952.5,950.5,951,1000
2020-01-23,951,951.5,949.5,950,1000
2020-01-24,950,950.5,948.5,949,1000
2020-01-25,949,949.5,947.5,948,1000
2020-01-26,948,948.5,946.5,947,1000
2020-01-27,947,947.5,945.5,946,1000
2020-01-28,946,946.5,944.5,945,1000
2020-01-01,945,945.5,943.5,944,1000
2020-01-02,944,944.5,942.5,943,1000
2020-01-03,943,943.5,941.5,942,1000
2020-01-04,942,942.5,940.5,941,1000
2020-01-05,941,941.5,939.5,940,1000
2020-01-06,940,940.5,938.5,939,1000
2020-01-07,939,939.5,937.5,938,1000
2020-01-08,938,938.5,936.5,937,1000
2020-01-09,937,937.5,935.5,936,1000
2020-01-10,936,936.5,934.5,935,1000
2020-01-11,935,935.5,933.5,934,1000
2020-01-12,934,934.5,932.5,933,1000
2020-01-13,933,933.5,931.5,932,1000
2020-01-14,932,932.5,930.5,931,1000
2020-01-15,931,931.5,929.5,930,1000
2020-01-16,930,930.5,928.5,929,1000
2020-01-17,929,929.5,927.5,928,1000
2020-01-18,928,928.5,926.5,927,1000
2020-01-19,927,927.5,925.5,926,1000
2020-01-20,926,926.5,924.5,925,1000
2020-01-21,925,925.5,923.5,924,1000
2020-01-22,924,924.5,922.5,923,1000
2020-01-23,923,923.5,921.5,922,1000
2020-01-24,922,922.5,920.5,921,1000
2020-01-25,921,921.5,919.5,920,1000
2020-01-26,920,920.5,918.5,919,1000
2020-01-27,919,919.5,917.5,918,1000
