Date,Open,High,Low,Close,Volume
2020-01-02,100,101.5,99.5,101,1000
2020-01-03,101,102.5,100.5,102,1000
2020-01-04,102,103.5,101.5,103,1000
2020-01-05,103,104.5,102.5,104,1000
2020-01-06,104,105.5,103.5,105,1000
2020-01-07,105,106.5,104.5,106,1000
2020-01-08,106,107.5,105.5,107,1000
2020-01-09,107,108.5,106.5,108,1000
2020-01-10,108,109.5,107.5,109,1000
2020-01-11,109,110.5,108.5,110,1000
2020-01-12,110,111.5,109.5,111,1000
2020-01-13,111,112.5,110.5,112,1000
2020-01-14,112,113.5,111.5,113,1000
2020-01-15,113,114.5,112.5,114,1000
2020-01-16,114,115.5,113.5,115,1000
2020-01-17,115,116.5,114.5,116,1000
2020-01-18,116,117.5,115.5,117,1000
2020-01-19,117,118.5,116.5,118,1000
2020-01-20,118,119.5,117.5,119,1000
2020-01-21,119,120.5,118.5,120,1000
2020-01-22,120,121.5,119.5,121,1000
2020-01-23,121,122.5,120.5,122,1000
2020-01-24,122,123.5,121.5,123,1000
2020-01-25,123,124.5,122.5,124,1000
2020-01-26,124,125.5,123.5,125,1000
2020-01-27,125,126.5,124.5,126,1000
2020-01-28,126,127.5,125.5,127,1000
2020-01-01,127,128.5,126.5,128,1000
2020-01-02,128,129.5,127.5,129,1000
2020-01-03,129,130.5,128.5,130,1000
2020-01-04,130,131.5,129.5,131,1000
2020-01-05,131,132.5,130.5,132,1000
2020-01-06,132,133.5,131.5,133,1000
2020-01-07,133,134.5,132.5,134,1000
2020-01-08,134,135.5,133.5,135,1000
2020-01-09,135,136.5,134.5,136,1000
2020-01-10,136,137.5,135.5,137,1000
2020-01-11,137,138.5,136.5,138,1000
2020-01-12,138,139.5,137.5,139,1000
2020-01-13,139,140.5,138.5,140,1000
2020-01-14,140,141.5,139.5,141,1000
2020-01-15,141,142.5,140.5,142,1000
2020-01-16,142,143.5,141.5,143,1000
2020-01-17,143,144.5,142.5,144,1000
2020-01-18,144,145.5,143.5,145,1000
2020-01-19,145,146.5,144.5,146,1000
2020-01-20,146,147.5,145.5,147,1000
2020-01-21,147,148.5,146.5,148,1000
2020-01-22,148,149.5,147.5,149,1000
2020-01-23,149,150.5,148.5,150,1000
2020-01-24,150,151.5,149.5,151,1000
2020-01-25,151,152.5,150.5,152,1000
2020-01-26,152,153.5,151.5,153,1000
